2,online.chosa.taishosha_cer.cer_toke_cd,StatisticalSurveyCode(forAuth),0,0,0,,8,4,chosahyosystem,A1,1
3,online.chosa.taishosha_cer.cer_taishosha_id,SurveyTargetID(forAuth),0,0,0,,16,4,chosahyosystem,A2,1
4,online.chosa.taishosha_cer.cer_kakunin_cd,Password,0,0,0,,256,4,chosahyosystem,A3,1
5,online.chosa.taishosha_cer.toke_cd_36,StatisticalSurveyCodeInBase36,0,0,0,,8,4,chosahyosystem,A4,1
6,online.chosa.taishosha_cer.soshin1,DestinationURL1,0,0,0,,9999,4,chosahyosystem,A5,1
7,online.chosa.taishosha_cer.soshin2,DestinationURL2,0,0,0,,9999,4,chosahyosystem,A6,1
9,online.chosa.kanri.toke_cd,StatisticalSurveyCode,0,0,0,,8,4,chosahyosystem,A7,1
10,online.chosa.kanri.jiki_cd,SurveyExecutionPeriodCode,0,0,0,,8,4,chosahyosystem,A8,1
11,online.chosa.kanri.taishosha_id,SurveyTargetID,0,0,0,,16,4,chosahyosystem,A9,1
12,online.chosa.kanri.chosahyo_id,E-questionnaireID,0,0,0,,12,4,chosahyosystem,A10,1
13,online.chosa.kanri.key_komoku,KeyItem,0,0,0,,24,4,chosahyosystem,A11,1
15,online.chosa.renraku.mail_adr,Mail address,0,0,0,,9999,3,,,1
16,online.chosa.renraku.shime,Name,0,0,0,,9999,3,,,1
17,online.chosa.renraku.kaisha,Company name,0,0,0,,9999,3,,,1
18,online.chosa.renraku.kaisha_e,Company name in English,0,0,0,,9999,3,,,1
19,online.chosa.renraku.shogo,Trade name,0,0,0,,9999,3,,,1
20,online.chosa.renraku.shiten,Branch name,0,0,0,,9999,3,,,1
21,online.chosa.renraku.tempo,Store name,0,0,0,,9999,3,,,1
22,online.chosa.renraku.daihyosha,Representative name,0,0,0,,9999,3,,,1
23,online.chosa.renraku.hojin,Corporate name,0,0,0,,9999,3,,,1
24,online.chosa.renraku.gakko,School name,0,0,0,,9999,3,,,1
25,online.chosa.renraku.busho,Department name,0,0,0,,9999,3,,,1
26,online.chosa.renraku.tantosha,Contact name,0,0,0,,9999,3,,,1
27,online.chosa.renraku.jusho,Street address,0,0,0,,9999,3,,,1
28,online.chosa.renraku.shozaichi,Location,0,0,0,,9999,3,,,1
29,online.chosa.renraku.shozaichi_2,Head office location,0,0,0,,9999,3,,,1
30,online.chosa.renraku.biru,Building name,0,0,0,,9999,3,,,1
31,online.chosa.renraku.yubin_no,Postal code,0,0,0,,9999,3,,,1
32,online.chosa.renraku.yubin_no_2,Head office postal code,0,0,0,,9999,3,,,1
33,online.chosa.renraku.tel_no,Phone number,0,0,0,,9999,3,,,1
34,online.chosa.renraku.tel_no_2,Head office phone number,0,0,0,,9999,3,,,1
35,online.chosa.renraku.naisen_no,Extension phone number,0,0,0,,9999,3,,,1
36,online.chosa.renraku.ketai_no,Cell phone number,0,0,0,,9999,3,,,1
37,online.chosa.renraku.fax_no,FAX number,0,0,0,,9999,3,,,1
38,online.chosa.renraku.biko_1,Remarks1,0,0,0,,9999,3,,,1
39,online.chosa.renraku.biko_2,Remarks2,0,0,0,,9999,3,,,1
40,online.chosa.renraku.biko_3,Remarks3,0,0,0,,9999,3,,,1
42,online.chosa.kaito.F1A_1_Name_Ent,Name of enterprise,1,0,1,1,100,3,,,2
43,online.chosa.kaito.F1A_1_Name_Ent_CL, (Written by capital letters in full name),1,0,1,2,100,3,,,1
44,online.chosa.kaito.F1A_Name_Ent_Trad,Trading name ( if any),1,0,1,3,100,3,,,1
45,online.chosa.kaito.F1A_1_TaxCode_Ent,Tax code,1,0,1,4,10,3,,,2
46,online.chosa.kaito.F1A_1_TaxCode_Estb,Tax code (Establishment),1,0,1,5,3,3,,,1
47,online.chosa.kaito.F1A_2_Province,Province/city,1,0,1,6,2,3,,,1
49,online.chosa.kaito.F1A_2_District,District (town in province),1,0,1,7,3,3,,,1
50,online.chosa.kaito.F1A_2_Commune,Commune/Precinct,1,0,1,8,5,3,,,1
51,online.chosa.kaito.F1A_2_Comm_Sub,Communal subdivision (number of house; street),1,0,1,9,100,3,,,1
52,online.chosa.kaito.F1A_2_TelNum_Area,Telephone number,1,0,1,10,6,3,,,2
53,online.chosa.kaito.F1A_2_TelNum_Num,Telephone number,1,0,1,11,8,3,,,1
54,online.chosa.kaito.F1A_2_FaxNum_Area,Fax number,1,0,1,12,6,3,,,1
55,online.chosa.kaito.F1A_2_FaxNum_Num,Fax number,1,0,1,13,8,3,,,1
56,online.chosa.kaito.F1A_2_Email,Email,1,0,1,14,50,3,,,1
57,online.chosa.kaito.F1A_3_Eco_Owner,economic ownership,1,0,1,15,3,3,,,2
73,online.chosa.kaito.F1A_3_Eco_Owner_03_01,03 Joint stock Co;Ltd Co. with state capital > 50%Cty (Central),1,0,1,16,,3,,,1
74,online.chosa.kaito.F1A_3_Eco_Owner_03_02,03 Joint stock Co;Ltd Co. with state capital > 50%Cty (Central),1,0,1,17,,3,,,1
75,online.chosa.kaito.F1A_3_Eco_Owner_08_01,08 Private Ltd Co; Ltd Co. with state capital ? 50%,1,0,1,18,,3,,,1
76,online.chosa.kaito.F1A_3_Eco_Owner_10_01,10 Joint stock Co. with state capital ? 50%,1,0,1,19,1,3,,,1
78,online.chosa.kaito.F1A_3_Eco_Owner_10_02,10 Joint stock Co. with state capital ? 50%,1,0,1,20,,3,,,1
79,online.chosa.kaito.F1A_4_KeyProdcut,Activity,1,0,1,21,200,3,,,2
80,online.chosa.kaito.F1A_4_KeyProdcutCode,Code,1,0,1,22,5,3,,,1
81,online.chosa.kaito.F1A_4_OtherProdcut_1,Activity,1,0,1,23,200,3,,,1
82,online.chosa.kaito.F1A_4_OtherProdcutCd_1,Code,1,0,1,24,5,3,,,1
83,online.chosa.kaito.F1A_4_OtherProdcut_2,Activity,1,0,1,25,200,3,,,1
84,online.chosa.kaito.F1A_4_OtherProdcutCd_2,Code,1,0,1,26,5,3,,,1
85,online.chosa.kaito.F1A_4_OtherProdcut_3,Activity,1,0,1,27,200,3,,,1
86,online.chosa.kaito.F1A_4_OtherProdcutCd_3,Code,1,0,1,28,5,3,,,1
87,online.chosa.kaito.F1A_4_OtherProdcut_4,Activity,1,0,1,29,200,3,,,1
88,online.chosa.kaito.F1A_4_OtherProdcutCd_4,Code,1,0,1,30,5,3,,,1
89,online.chosa.kaito.F1A_4_OtherProdcut_5,Activity,1,0,1,31,200,3,,,1
90,online.chosa.kaito.F1A_4_OtherProdcutCd_5,Code,1,0,1,32,5,3,,,1
91,online.chosa.kaito.F1A_4_OtherProdcut_6,Activity,1,0,1,33,200,3,,,1
92,online.chosa.kaito.F1A_4_OtherProdcutCd_6,Code,1,0,1,34,5,3,,,1
93,online.chosa.kaito.F1A_4_OtherProdcut_7,Activity,1,0,1,35,200,3,,,1
94,online.chosa.kaito.F1A_4_OtherProdcutCd_7,Code,1,0,1,36,5,3,,,1
95,online.chosa.kaito.F1A_5_Buy,Yes or No,1,0,1,37,1,3,,,1
97,online.chosa.kaito.F1A_6_received,6.1 Total money received,1,0,1,38,,3,,,1
98,online.chosa.kaito.F1A_6_paid,6.2 Total money paid,1,0,1,39,,3,,,1
99,online.chosa.kaito.F1A_7_Labour_1,7.1 Average labour in 2019,1,0,1,40,,3,,,1
100,online.chosa.kaito.F1A_7_Labour_2,7.2. Labour as of 01/01/2019,1,0,1,41,,3,,,1
101,online.chosa.kaito.F1A_7_Labour_2F,7.2. Labour as of 01/01/2019 (Of which: female),1,0,1,42,,3,,,1
102,online.chosa.kaito.F1A_7_3_Total_1,Total_1,1,0,1,43,,3,,,1
103,online.chosa.kaito.F1A_7_3_Total_2,Total_2,1,0,1,44,,3,,,1
104,online.chosa.kaito.F1A_7_3_Total_3,Total_3,1,0,1,45,,3,,,1
105,online.chosa.kaito.F1A_7_3_Total_4,Total_4,1,0,1,46,,3,,,1
106,online.chosa.kaito.F1A_7_3_Total_5,Total_5,1,0,1,47,,3,,,1
107,online.chosa.kaito.F1A_7_3_keyActivity_total_1,KeyAct_Total_1,1,0,1,48,,3,,,1
108,online.chosa.kaito.F1A_7_3_othAct_total_1,OthActTotal_1,1,0,1,49,,3,,,1
109,online.chosa.kaito.F1A_7_3_othAct_total_2,OthActTotal_2,1,0,1,50,,3,,,1
110,online.chosa.kaito.F1A_7_3_othAct_total_3,OthActTotal_3,1,0,1,51,,3,,,1
111,online.chosa.kaito.F1A_7_3_othAct_total_4,OthActTotal_4,1,0,1,52,,3,,,1
112,online.chosa.kaito.F1A_7_3_othAct_total_5,OthActTotal_5,1,0,1,53,,3,,,1
